場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,日付S,所属,種牡馬名,母名,現馬主名,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260617,水,6:54,マーゴットマシェリ,,牝,2,0,小林真也,,144.0,122.5,101.4,83.7,68.3,52.7,37.6,23.8,12.0,21.5,21.1,17.7,15.4,15.6,15.1,13.8,11.8,12.0,2026.6.17,栗東,スワーヴリチャード,ティッカーコード,前田良平,
栗東,C,右,20260611,木,6:49,レイノルズナンバー,,牡,3,0,大久保龍,,137.6,118.1,98.9,82.2,66.7,52.1,37.4,23.8,11.8,19.5,19.2,16.7,15.5,14.6,14.7,13.6,12.0,11.8,2026.6.11,栗東,ミッキーアイル,ラブエナヴィダ,風早信昭,
栗東,C,右,20260618,木,5:33,アステリアート,,牡,3,0,高橋義忠,,143.0,122.4,102.9,84.4,67.8,53.1,37.9,23.4,11.7,20.6,19.5,18.5,16.6,14.7,15.2,14.5,11.7,11.7,2026.6.18,栗東,ヴァンゴッホ,ルフランエトワール,OHEレーシング,
栗東,C,左,20260609,火,7:16,ラルス,,牡,3,0,吉田直弘,,,,,,96.8,72.3,51.2,32.4,15.8,,,,,24.5,21.1,18.8,16.6,15.8,2026.6.9,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,右,20260612,金,5:45,ラルス,,牡,3,0,吉田直弘,,,,,,,64.3,47.0,30.0,14.5,,,,,,17.3,17.0,15.5,14.5,2026.6.12,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,右,20260613,土,4:46,ラルス,,牡,3,0,吉田直弘,,,,,,,74.2,53.9,34.2,16.6,,,,,,20.3,19.7,17.6,16.6,2026.6.13,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,左,20260614,日,4:45,ラルス,,牡,3,0,吉田直弘,,,,,,84.0,61.8,43.4,27.4,13.5,,,,,22.2,18.4,16.0,13.9,13.5,2026.6.14,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,右,20260617,水,7:16,ラルス,,牡,3,0,吉田直弘,,135.2,116.8,98.2,80.7,65.1,50.4,36.5,23.5,11.8,18.4,18.6,17.5,15.6,14.7,13.9,13.0,11.7,11.8,2026.6.17,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,右,20260620,土,4:45,ラルス,,牡,3,0,吉田直弘,,,,,,,69.8,50.3,32.2,15.3,,,,,,19.5,18.1,16.9,15.3,2026.6.20,栗東,シルバーステート,ミリオンウィッシーズ,ターフ・スポート,
栗東,C,右,20260610,水,7:50,リントゥラウル,,牡,3,0,秋山真一,,143.9,121.6,101.0,83.1,67.4,53.2,38.1,23.5,11.5,22.3,20.6,17.9,15.7,14.2,15.1,14.6,12.0,11.5,2026.6.10,栗東,キズナ,ノースパストラル,ノースヒルズ,
栗東,C,右,20260617,水,6:10,リントゥラウル,,牡,3,0,秋山真一,,142.9,123.3,102.6,84.3,68.1,53.1,38.1,24.0,12.1,19.6,20.7,18.3,16.2,15.0,15.0,14.1,11.9,12.1,2026.6.17,栗東,キズナ,ノースパストラル,ノースヒルズ,
栗東,C,右,20260611,木,7:04,レジーナテンペスタ,,牝,3,0,前川恭子,,145.9,123.3,102.3,84.0,68.1,52.7,37.5,23.0,11.5,22.6,21.0,18.3,15.9,15.4,15.2,14.5,11.5,11.5,2026.6.11,栗東,シルバーステート,ボールルーム,生垣博志,
栗東,C,左,20260614,日,7:41,レジーナテンペスタ,,牝,3,0,前川恭子,,,,,,74.5,58.1,42.2,27.1,13.3,,,,,16.4,15.9,15.1,13.8,13.3,2026.6.14,栗東,シルバーステート,ボールルーム,生垣博志,
栗東,C,右,20260617,水,8:24,レジーナテンペスタ,,牝,3,0,前川恭子,,139.9,119.8,100.3,83.0,68.0,53.1,37.7,23.3,11.6,20.1,19.5,17.3,15.0,14.9,15.4,14.4,11.7,11.6,2026.6.17,栗東,シルバーステート,ボールルーム,生垣博志,
栗東,C,左,20260609,火,5:59,オーケーエレガンス,,牝,3,0,奥村豊,,,,,,94.5,73.0,53.2,34.4,16.8,,,,,21.5,19.8,18.8,17.6,16.8,2026.6.9,栗東,レイデオロ,オーケーブロッサム,小野建,
栗東,C,右,20260610,水,5:54,オーケーエレガンス,,牝,3,0,奥村豊,,,,,89.1,71.1,54.9,38.8,24.4,12.2,,,,18.0,16.2,16.1,14.4,12.2,12.2,2026.6.10,栗東,レイデオロ,オーケーブロッサム,小野建,
栗東,C,左,20260609,火,5:32,グランピアン,,牝,3,0,森田直行,,,,,,97.6,74.7,54.5,35.8,17.7,,,,,22.9,20.2,18.7,18.1,17.7,2026.6.9,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,右,20260610,水,5:31,グランピアン,,牝,3,0,森田直行,,,,,,,86.9,63.9,42.6,21.4,,,,,,23.0,21.3,21.2,21.4,2026.6.10,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,右,20260613,土,4:32,グランピアン,,牝,3,0,森田直行,,,,,,,97.6,72.6,47.9,23.2,,,,,,25.0,24.7,24.7,23.2,2026.6.13,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,左,20260614,日,7:25,グランピアン,,牝,3,0,森田直行,,,,,,130.2,100.9,74.6,49.9,24.3,,,,,29.3,26.3,24.7,25.6,24.3,2026.6.14,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,左,20260616,火,5:32,グランピアン,,牝,3,0,森田直行,,,,,,106.6,85.5,64.9,43.8,22.0,,,,,21.1,20.6,21.1,21.8,22.0,2026.6.16,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,右,20260617,水,6:17,グランピアン,,牝,3,0,森田直行,,,,,,,73.8,53.4,35.6,17.9,,,,,,20.4,17.8,17.7,17.9,2026.6.17,栗東,タワーオブロンドン,オオウサンミャク,村島聡乃,
栗東,C,右,20260611,木,6:06,ウォーターブビンガ,,牡,3,0,藤野健太,,139.8,120.1,100.0,82.3,67.3,52.8,37.8,23.7,11.8,19.7,20.1,17.7,15.0,14.5,15.0,14.1,11.9,11.8,2026.6.11,栗東,ダノンキングリー,ウォータールナ,山岡正人,
栗東,C,左,20260616,火,7:25,ウォーターブビンガ,,牡,3,0,藤野健太,,,,,,117.7,86.5,61.4,37.1,17.7,,,,,31.2,25.1,24.3,19.4,17.7,2026.6.16,栗東,ダノンキングリー,ウォータールナ,山岡正人,
栗東,C,右,20260617,水,6:02,ウォーターブビンガ,,牡,3,0,藤野健太,,,,,83.2,66.4,51.2,37.0,23.8,11.9,,,,16.8,15.2,14.2,13.2,11.9,11.9,2026.6.17,栗東,ダノンキングリー,ウォータールナ,山岡正人,
栗東,C,右,20260619,金,6:03,カルロット,,牡,3,0,武幸四郎,,,,,,,71.0,50.3,31.6,15.3,,,,,,20.7,18.7,16.3,15.3,2026.6.19,栗東,リオンディーズ,ラルケット,キーファーズ,
栗東,C,右,20260620,土,5:01,カルロット,,牡,3,0,武幸四郎,,,,,,,71.1,52.2,33.5,16.7,,,,,,18.9,18.7,16.8,16.7,2026.6.20,栗東,リオンディーズ,ラルケット,キーファーズ,
栗東,C,左,20260609,火,5:36,プペアンビスキュイ,,牝,3,0,茶木太樹,,,,,,113.0,86.5,65.3,43.1,21.6,,,,,26.5,21.2,22.2,21.5,21.6,2026.6.9,栗東,インディチャンプ,ヴィンテージドール,吉田勝己,
栗東,C,左,20260614,日,4:37,プペアンビスキュイ,,牝,3,0,茶木太樹,,147.9,125.9,106.4,89.6,74.1,58.4,41.8,25.9,12.0,22.0,19.5,16.8,15.5,15.7,16.6,15.9,13.9,12.0,2026.6.14,栗東,インディチャンプ,ヴィンテージドール,吉田勝己,
栗東,C,右,20260611,木,6:26,ジューンアゲイン,,牡,3,400,長谷川浩,,,,,,,75.8,55.6,35.8,17.4,,,,,,20.2,19.8,18.4,17.4,2026.6.11,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,右,20260612,金,7:47,ジューンアゲイン,,牡,3,400,長谷川浩,,,,,,,70.4,51.1,32.3,16.0,,,,,,19.3,18.8,16.3,16.0,2026.6.12,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,右,20260613,土,4:44,ジューンアゲイン,,牡,3,400,長谷川浩,,173.3,150.4,129.0,109.5,91.3,72.7,53.8,34.9,17.2,22.9,21.4,19.5,18.2,18.6,18.9,18.9,17.7,17.2,2026.6.13,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,左,20260614,日,4:36,ジューンアゲイン,,牡,3,400,長谷川浩,,170.7,149.1,127.8,107.3,88.6,69.3,50.9,33.4,16.7,21.6,21.3,20.5,18.7,19.3,18.4,17.5,16.7,16.7,2026.6.14,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,左,20260616,火,6:25,ジューンアゲイン,,牡,3,400,長谷川浩,,168.0,146.3,126.0,107.5,89.7,71.3,52.4,33.9,16.8,21.7,20.3,18.5,17.8,18.4,18.9,18.5,17.1,16.8,2026.6.16,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,右,20260617,水,6:50,ジューンアゲイン,,牡,3,400,長谷川浩,,142.5,122.5,102.8,84.4,68.4,53.4,38.3,24.1,12.1,20.0,19.7,18.4,16.0,15.0,15.1,14.2,12.0,12.1,2026.6.17,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,右,20260619,金,5:36,ジューンアゲイン,,牡,3,400,長谷川浩,,171.1,150.1,128.6,108.5,90.2,71.9,53.3,34.0,16.8,21.0,21.5,20.1,18.3,18.3,18.6,19.3,17.2,16.8,2026.6.19,栗東,リオンディーズ,マンハッタンガール,吉川潤,
